phase	logamp	pol	cosi	GW_freq	costheta	phi	logL
4.75291633014419812042e+00	-1.20008567700421995283e+01	2.53306644614159304219e-01	-1.28982731682743212431e-01	4.93044223990481781178e-10	6.00755898790570230794e-01	1.34844566486668249183e+00       -7.809924e+06
3.36266914622146362301e-01	-1.24543745385622433020e+01	4.35016896521482898663e-01	-2.48919050004832054235e-01	1.08666104052098908931e-10	4.83302834218011678757e-01	3.42844616950238911812e+00       -2.759696e+06
5.77735513827977342771e+00	-1.21562299309157708649e+01	4.10756202864589303747e-01	7.70516184547577198671e-01	2.61622241013834230900e-09	9.52601348421390436982e-01	5.60882150110751620531e+00       -1.448732e+06
2.73253820585759443773e+00	-1.20272585501669322383e+01	7.67152571207466271730e-01	-2.22050076380113758923e-01	6.88144283478262322535e-11	-7.25680241093862421486e-01	4.17952454248345972587e+00       -1.396778e+06
1.37082936597417948121e+00	-1.23628253814236224173e+01	8.95312284048024542571e-01	-5.50476590968157264427e-01	1.94050872785426731141e-09	-5.24178248583652250936e-01	3.00305425574764539576e+00       -8.931056e+05
3.18000784873349928716e+00	-1.22657274398553148842e+01	4.24846721768007362652e-01	4.12331791332099850678e-01	3.03195772904453314786e-09	7.27088186573745964836e-01	1.53615760592309191779e+00       -7.842121e+05
2.06737964627923398453e+00	-1.22653045842017718314e+01	1.41065651645543721493e+00	-7.07586723996607602771e-01	7.01188093101876700859e-09	8.13904070458283390721e-02	1.93240246726691400347e+00       -4.609129e+05
3.51075148333771291931e-01	-1.23327745842836744572e+01	9.26752854889063337751e-01	1.39982957258292545211e-01	6.03492389812060065290e-10	5.35166505079260113042e-01	3.13503939418731469857e+00       -4.574192e+05
5.75206615255856501534e+00	-1.27781351220558665460e+01	3.12259757795685488624e-01	-4.76965022372976610310e-01	9.30561811279329465558e-10	2.36340516578057324715e-01	9.10154389038390743139e-01       -4.390096e+05
4.38147115443071477614e+00	-1.20315652065197831178e+01	5.26088991309364262250e-01	-9.66009960549276569530e-01	1.28082235948720192752e-08	-3.69522902011697462754e-01	2.71719963444378720396e+00       -3.974707e+05
3.27148046817199222858e+00	-1.26151751198267145782e+01	1.27125864719866088492e+00	6.92467624733195674658e-01	1.99590421615135431137e-09	-9.56907860645165087021e-01	2.00151076763272106618e+00       -3.299109e+05
4.25807373488587614929e+00	-1.21619843484660457023e+01	7.34010449702483747103e-01	1.78744784998450534363e-01	2.73199482223224837678e-09	2.64205101841804235185e-01	3.32550373167383561679e+00       -2.909181e+05
4.07502158093880062495e+00	-1.21443091895867354424e+01	5.47457815938935499211e-01	-6.43537716464189113452e-01	1.15567469998852610568e-08	-8.36534169225458812402e-02	1.76333081242645373088e+00       -2.587040e+05
2.86471863111390367962e+00	-1.20192057676999120019e+01	4.18687887561547344983e-01	-5.74729450138402042647e-01	1.43599152369091565817e-08	-2.37014493692041222639e-01	2.12542760786913831339e+00       -2.129609e+05
5.67668982592466875303e+00	-1.21768664692984565079e+01	5.33232947130198198238e-01	6.53904632814843123079e-01	1.09172466257546458410e-08	6.74402427994245545761e-01	1.70083663754871650120e+00       -2.098794e+05
4.98792295670496521609e+00	-1.25117959973735430879e+01	9.13584101776823587215e-01	-3.81034421063327632950e-01	3.57402594739209832491e-09	-2.77882048700866690627e-01	9.24269957906768357958e-01       -1.726120e+05
3.47006049421516582498e+00	-1.32814811218033419493e+01	1.15984999517058939844e+00	3.63775304042832092755e-01	6.09042080457879788840e-10	5.86867674515491710707e-01	2.52740889509100830068e+00       -1.725889e+05
1.03496472596573907410e+00	-1.20492478916658889432e+01	1.09684086643598965871e+00	2.41786401151504515283e-01	1.28510272745868451934e-08	6.80822686492526640833e-01	1.49724857551736834083e+00       -1.359809e+05
1.98366334735788485411e+00	-1.20087746878034451470e+01	1.52587080541499697794e+00	-8.90789167136772808142e-01	2.54128988685043634936e-08	6.14429905275523213781e-01	2.68486081999457582015e+00       -1.337339e+05
2.50623025745225636030e+00	-1.20603414214220112655e+01	1.39204879878987108910e+00	3.33567435015390434394e-01	1.13660195138503587593e-08	3.26268720007648005410e-01	5.84943283461208274332e-01       -1.285495e+05
6.05794933210902897258e+00	-1.27416419825470903504e+01	6.92558551718093662330e-01	-5.26461149528021365995e-01	3.77905691012969454179e-09	6.29922751823596249743e-01	1.29520702966631806596e+00       -1.007418e+05
3.85627063779005485600e+00	-1.21589546231213656569e+01	1.15608550324890280159e+00	-3.26633684999394158233e-01	9.60032709330201746790e-09	5.25610251307072062765e-01	2.87909083782973018728e+00       -9.931004e+04
3.88161232161658187323e+00	-1.20060999486505632916e+01	1.38874032320739637658e-01	-5.88323162228478135916e-01	5.06074389952371441050e-09	-2.70290640409215132678e-01	4.63657001497371989984e+00       -9.174721e+04
1.74394488773088962574e+00	-1.29743202279347844552e+01	1.56079800893819431451e+00	3.81097315463373609301e-01	1.49733004725445049726e-09	-2.68474093273143754601e-01	2.26022667570810975590e+00       -8.661711e+04
1.43907470549303617702e+00	-1.20513467358143238073e+01	7.63088480658159262759e-01	7.74627578236339653373e-01	1.20239119153302101349e-08	-5.95471603650329361912e-01	7.79833202384876411628e-02       -7.905245e+04
4.96324655377179979610e+00	-1.20067440959907703046e+01	8.04499951250057243612e-02	-7.16570434972012559882e-01	3.10214925363302854931e-08	8.24021787577067343911e-01	1.78550279644125620138e+00       -6.903112e+04
5.94640193828444285629e+00	-1.20562474780603618996e+01	5.97077268617697942688e-01	7.49741713243718826964e-02	1.47290085984773194764e-08	5.68718167306962341101e-01	1.52821122503654538427e+00       -6.876404e+04
