# phase logamp pol cosi GW_freq costheta phi logL logPrior
5.164784290220496565e-01 -1.326510310206773013e+01 1.207435919314188588e+00 2.137387093757512069e-01 8.152141477133767470e-08 -9.329374794415535854e-01 4.625630781095178001e-01 -3.655039435292998462e+00 0.000000000000000000e+00
1.346261795082161150e+00 -1.478765991657330581e+01 1.011065857154327174e+00 -4.817226926299834622e-01 2.766983397058550851e-09 -4.044626918324950582e-02 3.259490617015786018e+00 -3.608666101907550328e+00 0.000000000000000000e+00
5.251801302144219363e+00 -1.376062615649351173e+01 1.306270543206528911e+00 6.402705019929049168e-01 1.516441453888221111e-08 -2.764846357963858248e-01 4.745849145642416111e+00 -3.577720510722660840e+00 0.000000000000000000e+00
3.144086375017086432e+00 -1.336424750593059230e+01 1.029213401761387869e+00 -4.824487369374513834e-02 6.249236477956413752e-08 1.469811415252477715e-01 2.249119936905146500e-01 -3.342719362243403491e+00 0.000000000000000000e+00
2.827095529465970536e+00 -1.461295197612802710e+01 5.557906434948051144e-01 -7.832923308153518782e-01 8.609097124838929211e-09 -8.742859319279281394e-01 2.020607604148365155e+00 -3.021040183764168496e+00 0.000000000000000000e+00
1.494498297276288357e+00 -1.439966635809749995e+01 3.864305368862998025e-01 -7.704894584720444195e-01 1.332186326529012793e-08 9.819788901301341744e-01 5.958849539655802552e+00 -2.956573399080692610e+00 0.000000000000000000e+00
3.188644790980514010e+00 -1.334154900872576199e+01 1.382810499360436651e+00 2.585013452074687579e-01 4.841331277004262701e-08 1.044734339926830513e-01 5.917985093356113779e+00 -2.920878994201075329e+00 0.000000000000000000e+00
3.306214507194484398e+00 -1.333527921669481664e+01 1.314454650163514815e+00 -1.705124446038673303e-01 4.010126715746339045e-08 -9.000005958290184793e-01 5.280732993340956583e+00 -2.778922105351347760e+00 0.000000000000000000e+00
5.873164877369469572e+00 -1.306259921773162525e+01 9.539276520450222785e-01 -5.284843364848485631e-02 4.370824015384787843e-08 -6.323865054188699819e-01 4.478092295283637725e+00 -2.637825413520338280e+00 0.000000000000000000e+00
4.143917675716989990e+00 -1.403112082391158744e+01 6.789637968769550724e-01 4.441440076185245167e-01 3.523798559183128340e-08 -3.818475197518253483e-01 2.134611287873575236e+00 -2.604075406638872714e+00 0.000000000000000000e+00
5.939230343823406422e+00 -1.380768706520724720e+01 7.996212737786226876e-01 -4.014738746649599288e-01 6.058719101816663640e-08 -3.536276577869087445e-01 2.364401903412255646e+00 -2.513610106829630819e+00 0.000000000000000000e+00
1.572761815633648697e-01 -1.424521183184835316e+01 1.418216920257193703e+00 -6.207554562804352694e-01 1.438556805687748834e-08 -9.225303114691167927e-01 5.288527087957913819e-01 -2.506208604410177898e+00 0.000000000000000000e+00
4.621072017372403806e+00 -1.379122589022578538e+01 1.062440717721001848e-01 5.332821768305618937e-01 6.185078506162517075e-08 6.328086595568120920e-01 2.919611116484262414e+00 -2.478192951191068971e+00 0.000000000000000000e+00
1.651500166220349008e+00 -1.363560223746770639e+01 4.350494370506224895e-01 -1.605015130597973183e-01 4.124997406527544308e-08 6.125542604352348652e-01 4.802026234126337001e-01 -2.456522075060114663e+00 0.000000000000000000e+00
1.171287000051358884e+00 -1.382042057532854251e+01 4.446474591790927078e-01 6.343358032916412981e-01 6.838270930827806550e-08 -3.991707741462907633e-02 1.074542182274231816e+00 -2.361855758004152150e+00 0.000000000000000000e+00
1.799966129896457989e+00 -1.363692729121855329e+01 6.422700704420325479e-01 -8.908806780542800619e-01 9.823828691607488184e-08 -2.464087256545464399e-01 3.091811615752586562e+00 -2.358326112333575253e+00 0.000000000000000000e+00
4.511983779502457992e+00 -1.372044631102046708e+01 7.929814284933811575e-01 7.525669074705447770e-01 8.881381090823796253e-08 -7.165575688492508144e-01 1.448443329247409039e+00 -2.343033442976256708e+00 0.000000000000000000e+00
3.069367384060182058e+00 -1.348304364631433927e+01 7.748031227822690936e-02 4.812011635379443431e-01 2.881845205189508704e-08 2.097987296557077830e-01 4.904229680956214033e+00 -2.315259303435718508e+00 0.000000000000000000e+00
3.568115180397535280e-01 -1.348800694862071303e+01 1.064577784140130046e+00 -8.603600555457386889e-01 7.386078246482358917e-08 5.145246855000051855e-01 4.268761670838248534e+00 -2.294498320498635557e+00 0.000000000000000000e+00
1.677024270501807468e+00 -1.399698054219442511e+01 3.635814804272446410e-01 -8.583719296276910438e-01 2.355031189488079188e-08 -8.627559548435528303e-01 3.972681457288757212e+00 -2.254754595981911081e+00 0.000000000000000000e+00
5.356108959347387177e+00 -1.502401067764194309e+01 1.559351252357763062e+00 -9.545437033640210567e-01 6.775471937615196450e-09 -5.583287902610564735e-02 1.267815078374718851e+00 -2.154916091209804208e+00 0.000000000000000000e+00
4.727178416684914453e+00 -1.444565657945531534e+01 8.615067113422321121e-01 -5.524351839760814897e-01 7.389823787270001803e-09 -9.583910576673383419e-01 3.722103252766651438e-01 -2.133459365536992003e+00 0.000000000000000000e+00
5.429437338237169897e+00 -1.356968789126596775e+01 1.273501557314445254e+00 4.434563517715240377e-01 2.658487238962959548e-08 1.758175956470220125e-01 4.951491990215947325e+00 -2.028053058582526269e+00 0.000000000000000000e+00
1.090183550152735936e+00 -1.401530023427592830e+01 7.110585896919465743e-01 -4.205019441041512596e-01 4.031589016470932176e-08 -4.448642276887965763e-01 1.565142016798326985e+00 -2.013529627069090555e+00 0.000000000000000000e+00
4.112870686266538733e+00 -1.393760074032137375e+01 3.232405032186317917e-01 6.524245326651765264e-01 3.754850755144228398e-08 7.011480877619311602e-01 3.719058119415580954e+00 -1.991233205286103924e+00 0.000000000000000000e+00
2.227019969786010023e+00 -1.362616101619071074e+01 1.103148226881904170e+00 -7.317080058528230291e-01 5.336913634812562786e-08 7.616831548777046601e-01 5.279695924603913681e+00 -1.981848511711619132e+00 0.000000000000000000e+00
4.560829299059849795e+00 -1.426969873647627729e+01 8.967548888671447727e-02 9.541270878888000739e-01 4.760203674135627295e-08 1.690491445062564657e-01 1.858011585505770169e+00 -1.912285459947399957e+00 0.000000000000000000e+00
5.889539661113475155e+00 -1.425337815160899346e+01 1.212817955728074049e+00 -7.597248642177729661e-01 2.015317343950899906e-08 1.411877769783999592e-01 2.469986323634120184e-01 -1.882229528006247321e+00 0.000000000000000000e+00
4.347027808780191904e+00 -1.437702796116085402e+01 6.569238839981316191e-01 -9.539179161802900930e-01 1.927446637650398849e-08 6.269515940208042482e-01 3.673161782030172962e+00 -1.871004096863875699e+00 0.000000000000000000e+00
3.087578261328563833e+00 -1.318712533625221539e+01 1.468802516632530031e+00 -5.849599018093608604e-01 6.906236238259275461e-08 -3.303252015371292982e-01 5.228339563367267573e+00 -1.870614565147244557e+00 0.000000000000000000e+00
