# phase logamp pol cosi GW_freq costheta phi logL logPrior
4.957252766824106871e+00 -1.228842621996990658e+01 8.130189185078524616e-01 8.812598345697418845e-01 1.109218533903470985e-09 -4.147560923546194656e-01 9.702280121955757508e-01 -1.264061739037215151e+07 0.000000000000000000e+00
3.203845088775371330e+00 -1.252851212805654413e+01 1.163701166024119438e+00 7.794705048205501363e-01 4.765630722314645447e-10 9.575183273163104802e-01 2.284846423602063581e+00 -7.960932101426512003e+06 0.000000000000000000e+00
4.296497082568527581e+00 -1.201992742498134525e+01 1.038324966760241219e+00 -5.772729115773271857e-01 2.398837257338266539e-09 1.988134356829007743e-01 2.756865378079363271e+00 -4.187394041012399830e+06 0.000000000000000000e+00
5.423676088990188049e+00 -1.245021741716159269e+01 4.241015174833717150e-01 -4.573663806071301963e-01 1.141656163561222456e-09 -2.262953702397803024e-01 2.634678453174550850e+00 -3.470434654572200961e+06 0.000000000000000000e+00
5.963777097519997739e+00 -1.289139915894559607e+01 1.475678497711260251e+00 9.449934205772019258e-01 2.191136711399089535e-10 9.091786367641703226e-01 3.293129172032565055e+00 -1.888259673600807087e+06 0.000000000000000000e+00
4.809761131217415553e+00 -1.202498576415153764e+01 4.052787337124064138e-01 -9.043303523546775136e-01 5.538930097232586250e-09 4.025483584096711809e-01 4.815356741147361896e-01 -1.652444427084160037e+06 0.000000000000000000e+00
1.690181386369683292e+00 -1.268475534778822578e+01 1.017095151813358633e+00 -8.652874153671448187e-01 9.846457758585582656e-10 -3.303475215706612733e-01 2.852940959412403998e+00 -1.643023442468206864e+06 0.000000000000000000e+00
6.278725680695953493e+00 -1.200910708896176082e+01 3.851559381295780460e-01 -3.994100434630247498e-02 8.388114268114829013e-10 4.338183705185181260e-01 5.454490379530561484e+00 -1.438432698464134242e+06 0.000000000000000000e+00
2.808041657415387693e+00 -1.292048605290596619e+01 1.009734386965711328e-01 -9.685425735620224463e-01 9.832400991417025475e-10 -5.499861928292630875e-01 7.942973638414496662e-01 -1.054952799397994764e+06 0.000000000000000000e+00
4.981431883188569998e+00 -1.203399191555422831e+01 1.501888375033789025e+00 -9.509245105839404522e-01 1.013148896300142242e-08 -6.831267474140367835e-02 2.058502925558174379e+00 -1.053199529313513078e+06 0.000000000000000000e+00
4.828604107131279299e+00 -1.206081670800031702e+01 6.989469754567756432e-01 4.332703136450818393e-01 2.336873808524898565e-09 9.070400718348172742e-01 5.130976213115221896e+00 -8.329521462630386231e+05 0.000000000000000000e+00
3.116254206958143591e+00 -1.213175243425554584e+01 8.242543589174682328e-01 -9.742334598383688427e-01 9.504865378797423497e-09 -5.860903084034099764e-02 1.798490176607169921e+00 -8.110139013033852680e+05 0.000000000000000000e+00
1.624177098672389352e+00 -1.235533728098890194e+01 2.496750523471588101e-01 -3.085393207921784398e-01 5.037217850638347521e-10 -9.911536295034080180e-01 5.201464294740788752e+00 -7.573278065809200052e+05 0.000000000000000000e+00
5.788792377849230064e+00 -1.201181735545995544e+01 1.223128236727536011e+00 7.606964459429164105e-01 3.224172122425114861e-09 -1.156925629237888775e-01 5.992643898465988883e+00 -7.351602389663408976e+05 0.000000000000000000e+00
2.462663219165278861e+00 -1.212951259678208693e+01 6.389873594318964400e-01 8.505182168227922723e-01 7.082006416301286920e-09 4.064521124261025187e-01 7.804204470348227174e-01 -7.069858711124710971e+05 0.000000000000000000e+00
