# phase logamp pol cosi GW_freq costheta phi logL logPrior
2.523131036263160709e+00 -1.205498955261907135e+01 4.797976320417096097e-01 -9.556400682617294251e-01 1.434537807604829731e-09 8.592315047863569033e-01 4.836164782293034259e-01 -1.386230198970964551e+07 0.000000000000000000e+00
1.602449481445410662e+00 -1.239849058838651530e+01 1.311249848272436846e+00 9.128919472395302659e-01 1.433789422657800553e-09 9.389348523469587260e-01 3.540139192026956927e+00 -4.193557834195445292e+06 0.000000000000000000e+00
5.069663456531096735e+00 -1.246488726704738070e+01 5.255552356809873871e-01 -8.088814872702559944e-01 2.807704514857441713e-10 -9.541076526810622349e-01 3.581264350416609510e+00 -3.378743325583410449e+06 0.000000000000000000e+00
5.465911657601251861e+00 -1.225302037708624958e+01 1.439024949327995628e+00 -2.889191490237128512e-01 1.636825369621599068e-09 2.011663461035213540e-01 1.447953892662278585e+00 -3.089126154396351427e+06 0.000000000000000000e+00
3.982785117207308989e+00 -1.244776011714858299e+01 9.954715566139867855e-01 -6.052167677518620614e-01 1.791152312744234874e-09 -5.538554035429910094e-02 1.034185781272931592e+00 -1.769594057835628977e+06 0.000000000000000000e+00
1.374827120325015306e+00 -1.200612900276270167e+01 1.418444920678318955e+00 -7.196665339296380859e-01 1.218425201973871421e-08 5.747180527060686828e-01 1.676084119536440653e+00 -5.075448894562224159e+05 0.000000000000000000e+00
2.422499931789277028e-01 -1.212396521647253955e+01 2.316153195097255812e-01 5.986810075041717472e-01 5.152383891411284799e-09 -4.849373228421830495e-01 4.802403367053198480e-01 -3.441721990709407837e+05 0.000000000000000000e+00
2.637503746188579079e+00 -1.205479751229106178e+01 1.339196579244830432e-01 7.012804340129475955e-01 1.017919062769799978e-08 6.618321721303099814e-01 3.258465001904276015e+00 -2.696219769223451149e+05 0.000000000000000000e+00
3.165691612988603687e+00 -1.239329065169112276e+01 7.648043449444388298e-01 -3.701077956269648306e-01 4.863484363671616330e-09 -5.918681592411487169e-02 2.238861373752353057e+00 -2.290761608224876691e+05 0.000000000000000000e+00
2.986451542194651587e+00 -1.212319451271959281e+01 5.204499808987711473e-01 -2.671867394029215914e-01 3.467596893497619793e-09 2.099334949654762528e-01 3.731612699197082605e+00 -2.272608283145527821e+05 0.000000000000000000e+00
6.834718044724152897e-01 -1.237368875016012026e+01 3.338092174755720176e-01 7.142198905876212534e-01 6.712446260519518853e-09 -3.578054781726427436e-01 2.579567147232966651e+00 -1.999274217054489709e+05 0.000000000000000000e+00
2.899087652319251251e+00 -1.220080292806431643e+01 1.120083905890775444e+00 -2.673668755981740142e-01 5.319991593139240380e-09 -7.172395104030518942e-01 2.517129421831187042e+00 -1.926385753780683153e+05 0.000000000000000000e+00
3.176546075457400420e+00 -1.238701846482901026e+01 1.168634408945417258e+00 -2.192008958325918910e-01 2.757756386731870657e-09 8.179581627265446464e-01 6.208943019308407862e+00 -1.746770711669596203e+05 0.000000000000000000e+00
9.994375530536401264e-01 -1.227279174369165560e+01 3.820433633467981704e-01 -3.455692978475234933e-01 2.584284453348974574e-09 -6.463832765535952873e-01 3.622961699425309323e+00 -1.622235564296229859e+05 0.000000000000000000e+00
1.451131316836766771e+00 -1.277743064832553443e+01 1.243293573648953654e+00 9.807455965402447351e-01 5.107309497811425747e-09 1.234043936875979935e-01 1.258966281936775289e+00 -1.308772615208566713e+05 0.000000000000000000e+00
5.687951386976584089e+00 -1.266781080671606041e+01 6.676974364067704837e-01 9.262394759663364896e-01 3.261631427328254181e-09 3.736876771718874446e-01 1.034940802549921823e-02 -1.275872097526616417e+05 0.000000000000000000e+00
2.583041244879213050e+00 -1.239473804446287986e+01 5.136308631059627317e-05 9.267362231919327176e-01 9.826620931946498602e-09 9.089542007429801673e-01 2.622288979235327666e+00 -1.260686821039947099e+05 0.000000000000000000e+00
3.535931910987748950e+00 -1.209603791872947021e+01 1.264784862568663071e+00 4.740965124537030451e-01 6.656178076439039774e-09 9.299151332830324357e-01 5.499706460990394064e+00 -1.160939349536013906e+05 0.000000000000000000e+00
5.779830118156326080e+00 -1.214608201194229942e+01 5.382629318759106773e-01 -7.321374108406295544e-01 1.263766963083995772e-08 -8.898488118866134666e-01 2.037593753350462666e+00 -9.969259019535279367e+04 0.000000000000000000e+00
4.068899160444904517e+00 -1.204357700953948829e+01 5.038373389764621013e-01 -6.284283989952946792e-01 2.206254756560250997e-08 1.733688930882063828e-01 2.521100400662388719e+00 -9.765488497984767309e+04 0.000000000000000000e+00
4.379705665584611829e+00 -1.223670885667325336e+01 1.281748053833430268e+00 9.114983044201857565e-02 9.990111300109023593e-09 4.047869557923661210e-03 7.573655540213368731e-01 -6.499061695281835273e+04 0.000000000000000000e+00
2.498532416673890033e+00 -1.214266535061081242e+01 7.738772133466141900e-01 -8.130749460714109533e-01 7.208934087138944455e-09 -1.339335277297132309e-01 4.156096756653427704e+00 -6.229628707820685668e+04 0.000000000000000000e+00
5.469622194974074425e+00 -1.200637244889603927e+01 1.108650843518003359e+00 -7.027903727925739474e-01 1.845743550954011153e-08 8.647290285580466751e-01 5.782699065523213555e+00 -5.361959074353088363e+04 0.000000000000000000e+00
3.779699397200932509e+00 -1.261444363565071569e+01 1.556059856303964928e+00 3.859270905749859759e-01 4.200574303212048847e-09 5.727292161339362364e-01 3.861406829847888744e-01 -5.275214476083045884e+04 0.000000000000000000e+00
5.438308739548525672e+00 -1.204105015983371274e+01 1.050052707895114068e+00 9.253612962375530326e-01 4.037508527894131663e-08 -5.664767718298270582e-02 2.586321981620181010e+00 -5.106263811479361902e+04 0.000000000000000000e+00
4.233215382682777417e+00 -1.352731178907178666e+01 7.957239517498616577e-01 -1.293342809030397222e-01 6.572128006171881078e-11 -1.564935946187971938e-01 2.063933618423931193e+00 -4.978414144012999895e+04 0.000000000000000000e+00
5.079648592853365230e+00 -1.252704150365716984e+01 1.198959775367897107e+00 2.807051780838408783e-01 8.419477218466295049e-09 5.068408568881830334e-01 2.377271579635315657e+00 -4.295239755117706954e+04 0.000000000000000000e+00
2.527881662854262412e+00 -1.225561989994961465e+01 1.366903496541227891e+00 2.464067813252740491e-01 1.187963521858754810e-08 4.479920483434165490e-01 1.299329031167033133e+00 -3.822702661777474714e+04 0.000000000000000000e+00
4.330944223197504606e+00 -1.249282466852120166e+01 1.232112234396132155e-01 -6.365037023241860714e-01 9.435781718773596041e-09 7.116921118140677738e-01 3.611290866718860570e+00 -2.582410681701571229e+04 0.000000000000000000e+00
3.093630881487445805e+00 -1.231585852958992078e+01 1.130538350793021785e+00 -1.909177401877253377e-01 4.740204644599425940e-09 4.448110759417600035e-01 3.499442702807968875e+00 -2.237422860022156237e+04 0.000000000000000000e+00
3.991611494105028690e+00 -1.340705523673251598e+01 1.227125231299205144e+00 9.113721155359488790e-01 1.105662536961521208e-09 -7.468822773281025285e-01 3.120903902612862435e+00 -1.746637330066625873e+04 0.000000000000000000e+00
1.469227089196683655e+00 -1.229137618534255161e+01 1.029591103384565054e+00 -9.716127435156556302e-01 2.914037582950825443e-08 -5.149504036785378380e-01 6.374972586410878606e-01 -1.708117940245562204e+04 0.000000000000000000e+00
1.620186668837724220e+00 -1.217383907860700454e+01 7.915776263477076746e-01 -9.301599537738710621e-01 2.687647330173800465e-08 -9.558195008975178819e-01 3.228311851547129852e+00 -1.697953733817260945e+04 0.000000000000000000e+00
3.932587787565000603e+00 -1.219009927713302588e+01 6.374532863961656082e-01 9.180821807463812601e-01 2.391496692236812556e-08 7.224047549145562463e-01 5.793730338042926142e+00 -1.566385307552496670e+04 0.000000000000000000e+00
3.509485306567569740e+00 -1.215846507676370614e+01 8.420402291974568021e-01 1.965514277046127023e-01 1.307313056261439028e-08 7.784158302125931961e-01 3.031256843373707710e+00 -1.549639048256003116e+04 0.000000000000000000e+00
4.255426740771597771e+00 -1.202790778172363595e+01 5.087041957473745768e-01 -8.873600912195492851e-01 7.637780390501913949e-08 6.731548329178016488e-01 1.241366837028836878e+00 -1.516945277018724300e+04 0.000000000000000000e+00
5.097013179117369397e+00 -1.204635594922316422e+01 6.851063757883003591e-01 5.582084412422632091e-01 2.016227564502892064e-08 8.357239621046350653e-01 4.879014693051260565e+00 -1.513901218908551891e+04 0.000000000000000000e+00
1.688537186182305527e+00 -1.261648571580913902e+01 2.573318312409784703e-01 5.377207370826625477e-01 1.442506663935596465e-08 -3.814292182843688761e-01 1.626968260236230090e+00 -1.461681628443225600e+04 0.000000000000000000e+00
5.958763308509373857e-01 -1.219686317159038325e+01 9.110900828170950261e-01 -3.110862942896218675e-01 1.136904060015586776e-08 -5.431706468773007668e-01 3.339802968509353764e+00 -1.452813739756988252e+04 0.000000000000000000e+00
1.630533263362468510e+00 -1.207026508955832611e+01 3.118376820151735895e-01 -9.347854116093707866e-01 8.129475044964208728e-08 6.115905488804569412e-01 1.978833324015784934e+00 -1.409362492145775104e+04 0.000000000000000000e+00
5.250303053171870182e+00 -1.235439518558494498e+01 5.222343925955863497e-01 -9.574281723344174599e-01 2.612550101794974475e-08 -8.496761098073088991e-01 8.422700103434230812e-01 -1.397395118867839119e+04 0.000000000000000000e+00
2.102704422123788941e+00 -1.340936294768759041e+01 9.336172557721458265e-01 2.316239323444468368e-01 1.740917945614448855e-09 6.469551036412989342e-01 2.306208495213838638e+00 -1.340416636817889230e+04 0.000000000000000000e+00
5.287025585793267979e+00 -1.279752118219698254e+01 6.023025514292660310e-01 4.611820003725048411e-01 4.408651302294213214e-09 -9.813628078107026198e-01 2.404726288707072612e+00 -1.308288282056008575e+04 0.000000000000000000e+00
2.635990150847216107e+00 -1.226571307881031814e+01 1.209729745633903786e+00 -7.620557931289615450e-01 2.730373551914423591e-08 3.451080687204768349e-01 2.408107764493109260e-01 -1.185345677513598457e+04 0.000000000000000000e+00
4.825322896458333344e-01 -1.272355724888284101e+01 1.174942545560035301e+00 3.279163967016394676e-01 1.925126584416771842e-09 -4.602656283556503802e-01 5.800825599734401372e+00 -1.095705981480384435e+04 0.000000000000000000e+00
